"","Kidney_mean","Liver_mean","M","D","prob","ranking"
"ENSG00000163399",16604.1589554003,535.318672652834,4.95500286142234,16068.8402827474,1,16068.8410467121
"ENSG00000132703",95.4338897337216,5291.99587144085,-5.79316645011619,5196.56198170713,1,-5196.56521083893
"ENSG00000132693",91.8662676876012,8345.86530150274,-6.50538260958068,8253.99903381514,1,-8254.00159742074
"ENSG00000158874",116.839622010444,9998.42362631596,-6.4190991531944,9881.58400430551,1,-9881.58608923591
"ENSG00000117601",85.6229291068904,4508.26664137985,-5.71843184591561,4422.64371227296,1,-4422.64740920756
"ENSG00000084674",252.855212518786,18806.6648593076,-6.2167886969227,18553.8096467888,1,-18553.8106883124
"ENSG00000021826",138.245354287167,7402.06727833208,-5.74262534368361,7263.82192404491,1,-7263.82419404416
"ENSG00000172482",55.7440944706318,4373.32257022664,-6.29376697929446,4317.57847575601,1,-4317.58306298956
"ENSG00000162267",45.4871810880355,4322.66788886282,-6.57031815649332,4277.18070777478,1,-4277.18575421287
"ENSG00000055955",127.09653539304,8210.92123034953,-6.01354748668481,8083.82469495649,1,-8083.82693169156
"ENSG00000091513",222.530425126762,13753.3538464531,-5.949637062255,13530.8234213263,1,-13530.8247293834
"ENSG00000047457",74.4741102127641,5582.95636119462,-6.22814648738003,5508.48225098186,1,-5508.48577189692
"ENSG00000145192",63.7712440744028,4458.82767236876,-6.12761460616896,4395.05642829436,1,-4395.0606998712
"ENSG00000145321",82.9472125723001,4758.70338604257,-5.84223122222686,4675.75617347027,1,-4675.75982332401
"ENSG00000163631",3395.48428239512,155041.012056219,-5.51288872896396,151645.527773824,1,-151645.527874031
"ENSG00000118785",10894.6258233403,123.192185076807,6.46656209870275,10771.4336382635,1,10771.4355793431
"ENSG00000198099",64.6631495859329,4999.81966933435,-6.27278847192387,4935.15651974841,1,-4935.16050623386
"ENSG00000171564",742.95729110458,45680.7968913425,-5.94216472835742,44937.8396002379,1,-44937.8399931064
"ENSG00000171560",651.982928928509,36483.9329429276,-5.80628325877702,35831.9500139991,1,-35831.9504844301
"ENSG00000171557",423.655117976802,22077.7415630576,-5.70355849163288,21654.0864450808,1,-21654.0871962226
"ENSG00000143153",19168.3873010493,743.205484969946,4.68882400417713,18425.1818160794,0.999990172955975,18425.1824126833
"ENSG00000157131",26.3112125901382,2797.75936108643,-6.7324503308254,2771.44814849629,0.99998034591195,-2771.45632577729
"ENSG00000116218",3678.66428230593,13.3728358800481,8.10373277092847,3665.29144642588,0.99998034591195,3665.300404841
"ENSG00000123838",51.7305196687463,2669.70432659869,-5.68952047560707,2617.97380692995,0.99998034591195,-2617.9799893075
"ENSG00000180432",93.6500787106614,2640.52723013313,-4.81740200186768,2546.87715142247,0.99998034591195,-2546.88170746108
"ENSG00000055957",45.9331338438006,3456.67545626698,-6.23370613003072,3410.74232242318,0.99998034591195,-3410.74801899243
"ENSG00000196616",287.193574712695,7218.08947561869,-4.65152164933657,6930.89590090599,0.99998034591195,-6930.89746179015
"ENSG00000168743",2981.64012504515,90.3679515530523,5.04415110868881,2891.2721734921,0.99998034591195,2891.27657353463
"ENSG00000151790",31.6626456593189,2548.94356622735,-6.33097381327025,2517.28092056803,0.99998034591195,-2517.28888177048
"ENSG00000081479",2428.21275514072,19.8566350946169,6.93412985848078,2408.3561200461,0.999960691823899,2408.36610238569
"ENSG00000163755",172.583716481076,3860.29195737388,-4.4833417082279,3687.70824089281,0.999960691823899,-3687.71096620947
"ENSG00000162366",1752.59433015666,12.9675984291375,7.07843696613768,1739.62673172753,0.999950864779874,1739.64113253592
"ENSG00000021852",25.4193070786081,1986.87922181442,-6.28843566312923,1961.45991473581,0.999950864779874,-1961.46999506454
"ENSG00000007933",73.5822047012339,2136.81707865132,-4.8599626981423,2063.23487395009,0.999950864779874,-2063.24059777847
"ENSG00000138079",1885.48825137465,42.9551697965181,5.4559625758112,1842.53308157813,0.999950864779874,1842.54115944188
"ENSG00000116039",1934.98900726457,8.10474901821097,7.8993421449211,1926.88425824636,0.999950864779874,1926.90045001914
"ENSG00000172005",1985.82762142179,14.9937856836903,7.04923189980567,1970.8338357381,0.999950864779874,1970.84644246083
"ENSG00000156096",20.9597795209576,1683.35637108242,-6.32757328017529,1662.39659156146,0.999950864779874,-1662.40863382586
"ENSG00000138798",2080.36960564398,9.32046137094261,7.80222277867382,2071.04914427304,0.999950864779874,2071.06384080123
"ENSG00000132688",2526.32236140903,116.303148411327,4.44107668302391,2410.0192129977,0.999941037735849,2410.02330490395
"ENSG00000117472",1382.89949562743,30.3928088182911,5.50782248910846,1352.50668680914,0.999931210691824,1352.51790153477
"ENSG00000168509",18.7300157421323,1426.03058975422,-6.25050900697919,1407.30057401209,0.999931210691824,-1407.31445472488
"ENSG00000123843",16.054299207542,1425.2201148524,-6.47208124919128,1409.16581564486,0.999931210691824,-1409.18067820196
"ENSG00000198203",1435.52192080771,16.2094980364219,6.46859213558203,1419.31242277129,0.999931210691824,1419.32716317173
"ENSG00000125618",1576.44299162947,19.0461601927958,6.37102901701084,1557.39683143667,0.999931210691824,1557.40986274639
"ENSG00000115112",1363.27757437377,10.9414111745848,6.96113670371522,1352.33616319919,0.999931210691824,1352.35407927085
"ENSG00000169031",1468.96837749009,20.2618725455274,6.17989201894335,1448.70650494456,0.999931210691824,1448.71968597588
"ENSG00000186510",1227.70793662119,5.26808686183713,7.86447254544618,1222.43984975936,0.999921383647799,1222.46514723656
"ENSG00000116690",45.4871810880355,1322.69503977203,-4.86187663100828,1277.20785868399,0.999921383647799,-1277.21711236913
"ENSG00000205795",1344.10160587587,27.9613841128278,5.58706261381137,1316.14022176305,0.999921383647799,1316.15208035057
"ENSG00000119888",1301.73609407819,34.8504207783072,5.22311710979189,1266.88567329989,0.999921383647799,1266.89644018951
"ENSG00000153246",1238.85675551532,19.0461601927958,6.02336540129547,1219.81059532252,0.999921383647799,1219.82546677459
"ENSG00000184908",1122.90903901641,7.29427411638987,7.26626093526842,1115.61476490002,0.999911556603774,1115.63842808093
"ENSG00000134215",1157.69335396608,21.4775848982591,5.75227758242765,1136.21576906782,0.999911556603774,1136.23032989609
"ENSG00000197956",2165.10062923934,121.571235273164,4.15456025880239,2043.52939396617,0.999911556603774,2043.53361713839
"ENSG00000162909",2945.96390458395,176.278291146088,4.06281303254115,2769.68561343786,0.999911556603774,2769.68859327802
"ENSG00000115419",1514.00960582236,61.1908550874928,4.62891448879873,1452.81875073487,0.999911556603774,1452.82612494963
"ENSG00000196549",1021.23181070197,33.229470974665,4.94170324735794,988.002339727309,0.999911556603774,988.014698138455
