GO.ID,Term,Annotated,Significant,Expected,classic
1,GO:1901566,organonitrogen compound biosynthetic pro...,607,348,190.61,< 1e-30
74,GO:0016052,carbohydrate catabolic process,37,23,11.62,0.00011
75,GO:0009142,nucleoside triphosphate biosynthetic pro...,51,29,16.01,0.00014
76,GO:0009144,purine nucleoside triphosphate metabolic...,51,29,16.01,0.00014
77,GO:0009145,purine nucleoside triphosphate biosynthe...,51,29,16.01,0.00014
78,GO:0009199,ribonucleoside triphosphate metabolic pr...,51,29,16.01,0.00014
79,GO:0009201,ribonucleoside triphosphate biosynthetic...,51,29,16.01,0.00014
80,GO:0009205,purine ribonucleoside triphosphate metab...,51,29,16.01,0.00014
81,GO:0009206,purine ribonucleoside triphosphate biosy...,51,29,16.01,0.00014
82,GO:0006778,porphyrin-containing compound metabolic ...,29,19,9.11,0.00016
83,GO:0009072,aromatic amino acid family metabolic pro...,17,13,5.34,0.00017
84,GO:0006662,glycerol ether metabolic process,23,16,7.22,0.00019
85,GO:0018904,ether metabolic process,23,16,7.22,0.00019
86,GO:0009082,branched-chain amino acid biosynthetic p...,10,9,3.14,0.00021
87,GO:0071705,nitrogen compound transport,167,74,52.44,0.00026
88,GO:0006207,'de novo' pyrimidine nucleobase biosynth...,7,7,2.2,0.00030
89,GO:0006270,DNA replication initiation,7,7,2.2,0.00030
90,GO:0006096,glycolytic process,30,19,9.42,0.00030
91,GO:0006757,ATP generation from ADP,30,19,9.42,0.00030
92,GO:0009135,purine nucleoside diphosphate metabolic ...,30,19,9.42,0.00030
93,GO:0009179,purine ribonucleoside diphosphate metabo...,30,19,9.42,0.00030
94,GO:0009185,ribonucleoside diphosphate metabolic pro...,30,19,9.42,0.00030
95,GO:0046031,ADP metabolic process,30,19,9.42,0.00030
96,GO:0008610,lipid biosynthetic process,96,46,30.15,0.00048
97,GO:0006790,sulfur compound metabolic process,59,31,18.53,0.00056
98,GO:0006006,glucose metabolic process,9,8,2.83,0.00061
99,GO:0006206,pyrimidine nucleobase metabolic process,9,8,2.83,0.00061
100,GO:0007264,small GTPase mediated signal transductio...,43,24,13.5,0.00076
101,GO:0006099,tricarboxylic acid cycle,11,9,3.45,0.00083
102,GO:0009081,branched-chain amino acid metabolic proc...,11,9,3.45,0.00083
103,GO:0015995,chlorophyll biosynthetic process,11,9,3.45,0.00083
104,GO:0072488,ammonium transmembrane transport,11,9,3.45,0.00083
105,GO:0006090,pyruvate metabolic process,34,20,10.68,0.00084
106,GO:0009069,serine family amino acid metabolic proce...,21,14,6.59,0.00093
